spectraltype,redshift,color,temperature,gravity,metallicity
O9.5Vvar,0.0002418658,0.18,6537,2.497,-2.09
O9.5Vvar,0.0001724799,0.18,6537,2.497,-2.09
O9.5Vvar,0.0003132364,0.18,6537,2.497,-2.09
M1V,0.0008344778,1.474,3705,4.8,0.6
O9.5Ib...,0.0002534029,-0.199,9899,2.924,0.09
O9.5Ib...,0.0001603281,-0.199,9899,2.924,0.09
O9.5Ib...,0.0002556896,-0.199,9899,2.924,0.09
O9.5Vvar,8.639486E-05,0.18,6537,2.497,-2.09
O9.5Vvar,-1.530514E-05,0.18,6537,2.497,-2.09
O9.5Vvar,0.0002709154,0.18,6537,2.497,-2.09
O9.5Vvar,0.000109611,0.18,6537,2.497,-2.09
O9.5Vvar,0.000138896,0.18,6537,2.497,-2.09
O9.5Vvar,9.041597E-05,0.18,6537,2.497,-2.09
O9.5Ib...,0.0001766076,-0.199,9899,2.924,0.09
O9.5Vvar,3.894671E-05,0.18,6537,2.497,-2.09
O9.5Vvar,0.0001346543,0.18,6537,2.497,-2.09
K7V,0.001198325,1.363,3900,4.232,0.17
O9.5Ib...,0.0002709865,-0.199,9899,2.924,0.09
O9.5Vvar,0.0002088686,0.18,6537,2.497,-2.09
O9.5Ib...,0.0002751591,-0.199,9899,2.924,0.09
O9.5Vvar,0.0003912316,0.18,6537,2.497,-2.09
F8V,0.000592011,0.661,5152,2.4,-1.42
K0,0.00138471,0.624,5100,2.73,-1.82
G5Vp,0.0002395214,0.704,5320,4.49,-0.76
K3V,-5.020142E-05,0.95,4775,4.409,-0.12
G5Vp,0.0002056832,0.704,5320,4.49,-0.76
G2V,0.0002428135,0.539,5373,4.37,-1.08
G2V,-5.705792E-05,0.581,5506,3.8,-0.5
G5III,0.0001188996,0.709,5073,2.51,-1.44
G1V,-0.0004569493,0.6,5630,4.5,-0.45
K1V,-0.0001551575,0.811,5059,4.45,-0.16
F8V,2.729951E-06,0.661,5152,2.4,-1.42
G3IV,0.0005512136,0.828,5126,3.5,-0.59
G3IV,3.042781E-05,0.828,5126,3.5,-0.59
G1V,4.154108E-05,0.6,5630,4.5,-0.45
G3IV,8.707776E-05,0.828,5126,3.5,-0.59
B9,-0.0003046576,0.029,8554,4.325,0.1
A1V,-0.0003596809,0.107,7852,3.18,-1.67
G2V,0.0004376234,0.581,5506,3.8,-0.5
G0V,-0.0001151433,0.549,5890,4.41,-0.11
G0V,-0.0002029661,0.572,5661,4.27,-0.37
G5Vp,-0.0001568419,0.704,5320,4.49,-0.76
G2V,-5.700218E-06,0.539,5373,4.37,-1.08
G6V,-2.661196E-05,0.603,5474,4.16,-0.67
G0V,7.054803E-05,0.572,5661,4.27,-0.37
